Name,Category,Topics,Text,Content Warning
Munchkin,Love,Obsession,"I was actually obsessed with this idea for a good chunk of my teenage years and did quite a bit of research. The very first ""therapeutic"" stories I wrote, when I first gave myself permission to go wild and cut loose, dealt directly in this field. Love talking about it.",no
Munchkin,Religion,Agnosticism,"What it means to be the equivalent of a spiritual wanderer, always searching for those tidbits of Truth without being tied down to a singular 'truth'. It can be disheartening, freeing, discouraging, joyous, terrifying, intriguing, amusing, depressing, and all-in-all incredible.",no
Munchkin,Writing,Mary Sue/Gary Stu,"This is a major pet peeve of mine, so I tend to recognize the traits pretty quickly. I'm also pretty good at sniffing out the anti-Mary Sue, which can be just as annoying. I do recognize where they have their places in the world, but also where they don't. Feel free to poke at me if you have any concern of your protagonist turning into this.",no
Munchkin,Mythology,Egyption; Greek; Norse; Japanese,"Not as learned as some, but definitely a high interest of mine. Unfortunately, such passions can make stories based on such leave a bad taste in my mouth. I can definitely help get to the bare bones of these mythos (especially the first two), but be warned that I'm very picky with 'personal interpretation'. Chances are if you have a question pertaining to any of these mythos and I don't already have the answer, I'll know where to find it. For the record, favorite gods from each zone are Sekhmet of Egypt (with Thoth as a close second), Athena from Greece (with either Apollo or Hermes as a close second), Siff from Norse (yes, even more than Loki  though he's a close second), and Ame-no-Uzume-no-Mikoto from Japan (with Susanoo-no-Mikoto as a close second.).",no
Munchkin,Mental Health,Depression,"I was clinically diagnosed when I was 15 years old. After I was put on Paxil, had the dosage up, changed to Prozac, and had the dosage upped again, I felt like an absolute zombie. I took the time to research depression on my own, including all the symptoms and the best ways to counter them. I then pulled a real stupid and weened myself off of the medication (DO NOT DO THIS!!! CONSULT A DOCTOR FIRST!!!). Thankfully I weened off slow enough to have minimal effects, and I've been off of medication ever since. Every person is different though. For some, keeping an eye open for the signs and forcing yourself to reverse them simply isn't enough. For some, the medication really does help. I'm just not one of those some. But yeah, I know quite a bit of what clinical depression is and how I've countered it, and what happens when I can't bring myself to care enough to counter it >.< Happy to answer any questions.",no
Dwale,Media,Anime,(ask),no
Dwale,Crime,Gang Culture,(ask),no
Dwale,Genres,Ghost Stories,(ask),no
Dwale,Drugs,Misc.,(ask),no
Dwale,Religion,Islam,(ask),no
Dwale,Mental Health,Misc.,(ask),no
Dwale,Religion,Satanism,(ask),no
Huskyteer,Transportation,Motorcycles,I love my bike and get out on it as often as possible.,no
Huskyteer,Education,Boarding School,"A.k.a. the unhappiest days of my life. (Also, British university, which was loads nicer.)",no
Huskyteer,War and Fighting,Martial Arts; Karate,Though I may be better at describing how it feels to get smacked in the nose than I would be at choreographing your fight scene.,no
Huskyteer,Language and Literature,Classics,"Latin and Greek language and literature. My degree subject, for my sins.",no
Huskyteer,Nationalities,United Kingdom,"Got an English character? Setting a story in London? Ask me for a free checkup, or run the risk of referring to trousers as 'pants' and earning my undying scorn!",no
Huskyteer,Travel,Europe,"I love going on holiday! I don’t have in-depth knowledge of other countries, but I can give a tourist’s eye view of France, Germany, Italy, the Czech Republic, Sweden, Slovenia, Croatia, and a few more (if, say, you’re desperate to set a story in Belgium).",no
Huskyteer,Sex and Sexuality,Misc.,I have had some. With other people. I thought this worth mentioning as some writers of furry erotica clearly haven’t.,no
CopperGryphon,Living Situations,Dormitories,"I attended a four year college and have experience in dealing with dorm life, room mates, social events, etc.",no
CopperGryphon,Performance Art,Theatre,"I received a Bachelor of Fine Arts in Technical Theatre with an emphasis in Stage Management. I worked professionally for seven years in regional theatres, as well as touring cross-country with shows. I can speak to almost any aspect of performing, rehearsal, process, personalities, and the Actor's Equity Union.",no
CopperGryphon,Travel,Misc.,"Okay, I haven't done this in awhile, but in my early youth I traveled abroad and can speak to group travel, encountering foreign surroundings for the first time, stayin in hostels, backpacking, and getting stranded overnight on a Scottish Isle",no
Voice,Religion,Misc.; Christianity; Occult; Satanism,"have a bachelor degree in religious studies, specializing in early Christian traditions and history. I find the topic fascinating and have an extensive library (currently in storage) on a wide range of religions and their practices. I was also a LeVay Satanist at one point, and I am currently (for the long haul) a Eclectic Pagan.",no
Voice,Paranormal,Cryptozoology,"I know a surprising amount on this topic, mostly from when I was a child and had a large reading habit on the subject. I also have a section in the above mentioned library centered around this interesting topic and tend to watch any program or documentary on the subject matter I can find.",no
Voice,Religion,Exorcism,"I have an obsession of sorts with real life examples of exorcisms and those that perform them, be they actual Bishop sanctioned priests or Deliverance ministers. I can take you through the steps of possession and the effects of them on people, as well as the science that may or may not be taking place behind the scenes.",no
Voice,Religion,"Heresy, Witchhunts, and Panic","Ritual abuse cases from the 1980s that came about due to poorly trained social workers from the 1970s, the book Michelle Remembers and the inability to interview children due to the before mentioned poor training. It's a scary example of modern witchhunts and mass hysteria. There are still innocent people in prison to this day who were imprisoned from these trials.",no
Voice,Work and Employment,Flooring; Remodeling,"Tiles, carpets, laminate, hardwood, etc. I sell these for a living and know a ridiculous amount about them. And yes, I have caught mistakes in stories involving them.",no
Voice,Kink and Fetish,Bondage,"I have been heralded by locals as a 'Bondage Master'. I laughed when they did. I don't know everything, but I know more than the average Joe. I have also had a colourful past when it comes to women and bondage.",no
Voice,Nationalities,Canada,There's a bunch of us on here. You'd be amazed at what Americans get wrong when they write about Canadians...,no
Voice,Genres,Horror,Apparently many consider me an expert on this subject and have asked me to include it on here.,no
Koakai,History,Archaeology,"I hold my bachelors in the field, and have been on a couple of digs. One of these years I will go back for my Masters since I adore the subject, there is just no money in it. My experiances are limited to the Americas though, so if you want an Egyptologist you are in the wrong spot. I did a lot of zooarchaeology (animal remains. golly gee, wonder why).",no
Koakai,Locations,Ecuador,"As part of my archaeology degree I was fortunate enough to get to dig in the old colonial town of Cuenca. Me and my professor also got mugged at knife point here, so hey, I can add that as well to the topic.",no
Koakai,Food and Drink,Cooking,"I went to cooking school, before I found out that I can not stand kitchen stress. Did some banquet cooking and spent a short time on a line. Hate it with a passion unreserved. To this day I can not watch anything with Gordon Ramsey in it. Too close to reality in some ways.",no
Koakai,Hobbies,Fishing,"Spent a part of every summer on the coast with my grandparents saltwater fishing. Recreational, so don't expect great tales of the gillnetters or other commercial boats. Also spent a lot of time on the river with my dad when I was younger, but less with a rod in the water personally, and more exploring.",no
Koakai,Luxury Items,Jewelry; Making,"A hobby. I know the basics, and could fake my way along a lot more from my readings.",no
Koakai,Work and Employment,Retail,"Worked in the retail grocery business fr ten years, from drone to lowest level manager. Ah joy.",no
Koakai,Sex and Sexuality,Asexuality,"I'm actually asexual, so don't come to me for smut.",no
Koakai,Death,Cancer; Experience,What it is like to have someone close to you fade away over a six month period. #$%@ing cancer.,no
threetails,Nationalities,America; Spain; Expatriot,"My earliest memories are of Spain (spent most of my toddler years there with Dad in the Air Force and even went to a Spanish pre-school off base), plus I lived for a year and a half on the outskirts of London.",no
threetails,Religion,Buddhism; Gnosticism,Something I'm fairly new to. I feel I've gained at least the beginnings of a functioning knowledge of these traditions though I'm no expert. My next two novels sort of explore Gnostic themes by way of allegory.,no
threetails,Religion,Reincarnation,"The reason I became interested in the above. A very harrowing personal experience brought to my attention that this was indeed a distinct if profoundly disturbing possibility. I was never sure if it was anything more than a writer's imagination run amuck in my case so I can't say I ""believe"" in it, but I can't disbelieve with any serious conviction any more.",no
threetails,Machines,Vehicles; Cars; Aircraft; Fictional,"I'm pretty knowledgeable about vehicles, especially cars. I have owned and done restoration work on several classic cars. I also have some amount of knowledge about aircraft and I'm pretty good at inventing machines for my fiction stories.",no
threetails,History,Medieval,"I've studied this subject in depth and continue to study it, both in an academic setting and as a hobby. I've read primary firsthand sources and I've even been to the places where a lot of it happened, and I feel I have a pretty good feel for how the medieval mind worked. One of my upcoming books has a sequence set in the mid 12th century in France.",no
threetails,Language and Literature,Language,"I speak English (native), Spanish (near-fluent) and French (on a basic level). I also know a little bit of Latin, Italian, Classical Greek, and Chinook Jargon. I also created a language for my first novel called Jiya which has a grammar structure completely different from Romance or Germanic languages.",no
threetails,History,Art,I've studied and continue to study art history on an academic level.,no
threetails,Mental Health,Misc.; Anxiety; Panic Attacs; Depression; Autism Spectrum Disorders; Psychotic Disorders,"I'm familiar enough with this subject to help you write characters with autistic spectrum disorders, personality disorders, anxiety learning disorders, or psychotic disorders. In addition, have firsthand experience with severe anxiety, panic attacks, and depression.",no
threetails,Gender,Transgender,"Firsthand experience. Almost fully transitioned, willing to talk about my experience.",no
jaystoat,Nationalities,Australia,"Lived in Australia for ten years now, so have picked up a bit of know-how about the place. I know the correct usage of ""G'day""; why""throw another shrimp on the barbie"" is factually incorrect; that yes, we did manage to lose a Prime Minister (and sincerely wish we could do so again); and that Fosters is not the beer of choice.",no
jaystoat,Sport,Football (Soccer),"That is, the one with the ball and the players use their feet. None of this hand-egg nonsense. Fanatical football supporter here. I can even correctly explain the offside rule! Have a reasonable knowledge in other sports too.",no
jaystoat,Fictional Lore,Middle Earth,"Unless you're writing fanfiction, I doubt this will crop up, but I'll put it here anyway. I have been banned from playing any Tolkien-related trivia game in the spirit of fair play.",no
jaystoat,Nationalities,United Kingdom,Born and raised in the South-West (of England). Just haven't visited for ten years so don't ask me on more recent happenings.,no
Sean Rivercritic,Work and Employment,Retail,"Like others in this thread, I've worked in it for a number of years. Have been everything from associate to store management, and just about everything in between. Also have some knoweldge of employment law from when I was attempting to get into an HR field. Have worked in a wide assortment of stores, ranging from a florist shop (don't know much about flowers, but can make them look pretty!), a Borders bookstore, multiple kitchen supply stores, a bath and frangrance store, a men's clothing store, and most recently, a college bookstore.",no
Sean Rivercritic,Food and Drink,Coffee,"I've been the manager of a Seattle's Best cafe and actually learned about different types of roasts/how to distinguish between quality coffee and just ""crap people have gotten used to drinking"". I've also got a coffee snob friend whose a regional manager at a Starbucks, so I have their extensive database of knowledge to go off of if there's something I don't know.",no
Sean Rivercritic,Editing,Misc.; Copyediting; General Editing,"Pretty natural that I'd have at least some knowledge on this. If you need to know anything from what to look for in a basic copyedit up through how to know if your piece fits today's market desires for publishing, I could help you out. Note that not ALL of this info is free! (Though most of it is.)",no
Sean Rivercritic,Living Situations,Poverty,"Being poor sucks, and I've dealt with it my entire life. With my deadbeat father who likes to think that his small military retirement pay is ""a job"", and a mother who has worked 2 jobs and 60 hours a week for over 15 years now, just to get by, I feel as though I'm pretty well-versed on the subject.",no
Sean Rivercritic,Sport,Bowling,"Now this is something I have a damn-near endless knowledge base on. I've been bowling in sanctioned leagues since I was three years old and had been invited to go professional upon winning a big northeastern youth tourney back in my teen years. Couldn't do it due to injury, but I learned the sport inside and out because of it. Averaged 220s back in my teen years, and 230s for awhile just after turning 18. Injuries are getting to me now, but I can still hang with some talented bowlers.",no
blizleopard,Weaponry,Misc. Firearms; Assault Rifles; Pistols; Rifles; Grenades; Grenade Launchers; Firing Ranges,"Due to a particular interest/obsession, I have studied the development of most modern firearms, including the basic workings of said weaponry, up to and through most modern assault rifles. I have fired most major brands of pistols, and a few rifles, so I understand the actual feeling of a weapon going off in my hand or against me, and have had basic rifle training in both military and civilian settings. I have also had the dubious pleasure of using a live-fire M60, and an M203 grenade launcher. Most of this was done during US Army basic training in the mid-90s, and personal research based on fact-checks on movies afterwards. There is an indoor firing range I go to at least 2-3 times a year where I can fire new weapons I see, and talk with the guys at the counter, all of whom help train local police.",no
blizleopard,War and Fighting,Martial Arts; Taekwondo,"I formerly held a Black Belt in South Korean Military Tae Kwon Do, which I trained in from the age of 14 to 17. While my knowledge is rusty, like with others, it has given me a better working knowledge of the human body and fight mechanics.",no
blizleopard,Living Situations,Homelessness,"I lived on the streets for a total of four months. It was toward the end of summer, with about a month-long spell in winter in NorCal. There's a lot that can be said here, but I think I'll keep it relatively short for now. I will say though that I came from a high-middle-class family that wound up having to file for bankruptcy, to a low-middle-class family that actually knew how to budget for things, to cutting all ties and building my own life from the ground-up. I literally lived under a bridge during that time. I know what it means to go from everything to nothing to something.",no
blizleopard,Transportation,Cars,"A small but growing book-knowledge of how cars work based on having friends who have been gear-heads. While my own working knowledge is limited, have learned some of the differences between engine types, how some racing techniques actually work behind the wheel, and what cars are better for what situations based on how their drive trains work.",no
blizleopard,History,World War II,"My grandfathers both were active in World War 2, my paternal grandfather a reservist naval engineer who helped design a safety-lock bar still used today on most aircraft carriers, and my maternal grandfather a radio operator for the US Army Air Corp. My father made several studies of World War 2's pacific theater, and imparted a lot of that on me, and the interest still remains. While my current knowledge is less expansive than it used to be, I still have the resources of my father, his friends, and his books to be able to help.",no
blizleopard,Fictional Lore,Star Wars,"I know this is entirely a fan-based thing, but I watched the movies to death, all the TV series that were ever made, and read every novel written before the Yuuzhan Vong saga that in my opinion ruined the Expanded Universe Books.  I own most of the West End Games Star Wars RPG books and supplements, and have some of the d20 remake books in house, as well as the 4.0 books that were made before the line was dropped. While Star Wars is it's own thing, what it can be used for is a basis to mine knowledge for building your own science fiction universe, including examples of how tech works in one sense so you can derive your own ideas from it, and also the designed structures for militaries, governments, and cultures of the times in the books.",no
Rabbit,Work and Employment,Automotive,I spent 30 years as a GM auto worker and used to do some wrenching myself.,no
Rabbit,History,Military; World War I; World War II,Especially WWI and WWII. Know a good bit of general history as well,no
Rabbit,Transportation,Driving,"like towing trailers, driving in impossible conditions, what a 4x4 can and cannot deal with, etc.",no
Kitswulf,Biology,Gardening; Herbalism; Plants,"I've written professional works on gardening and can hit the universal basics on it from watering to location to general plant choices. In terms of expert plant placement and choices I'm limited to NE Scotland, Northern Arizona, and the Coastal Pacific Northwest regions. In terms of herbalism and ethnobotany I'm somewhat mixed, with lots of experience on plants in the intermountain West and Western Europe, but I'm still learning coastal Pacific plants. And of course, IANA(Doctor) so even if I say this is plant first-aid for your character, please exercise caution in real life.",no
Kitswulf,Religion,Occult,"Like some of the others posting here I'm a huge fan of all the old symbolism and culture surrounding magic and the supernatural. I know a goodly amount about old legends among various cultures, with an emphasis on Western European culture (Hi standard American Education System's bias!) but also some Japanese, Western AmerIndian and Central Asian stuff.",no
Kitswulf,History,Ancient Warfare,"Light hobbyist, so I lack the intensive dedication of some folks in the field, but I really enjoy pre-gunpowder warfare both in a historical and fantasy/fiction context. I especially enjoy sieges, but also the economic/cultural aspects of war, which often get ignored and can end up having some fascinating effects on the battles.",no
Kitswulf,Society,Politics; Economy,"I love this sort of stuff. It's part of my day job that I love and am fascinated by. Political science, sociology, the interplay of individuals within social norms and economic constraints...whether trying to talk about a furry getting elected in modern-day America (where Obama is totally an ocelot) to fantasy worldbuilding (how would magic items function as an economy?) I'm a go-to guy.",no
Kitswulf,Biology,Misc.; Animal; Behavior; Ecology,"Kind of important for furry stuff. I can describe physical traits, needs, and ecological data on a lot of megafauna. Additionally, I'm a huge fan of how biology informs behaviors in animals and other branches of ethology. If I can't answer a question off the top of my head I'm pretty good at hunting down reference materials thanks to my day job.",no
Kitswulf,Earth Sciences,Geology; Meteorology; Misc.,"Geology, meteorology, and the natural world. I'm a massive rockhound and I care way more than I should about weather patterns, alluvial deposits, and the interplay between life and nonlife in an ecological area. Combined with the above, I'm basically just a natural sciences junkie.",no
Mars,Survivalism,Misc.,"A few years back when my post-apocalyptic genre obsession started, I did a bit of absorbing of the ideas, methodology, and practices of surviving on one's own in urban environments.",no
Mars,Hobbies,Video Games,"I fail to see when this will probably ever be something someone needs input from someone else on, but I've been playing games as long as I can remember and would like to think I have a pretty good understanding of what one needs to take into account with them. I also absorb lore in games I enjoy like a horrifying sponge and can give you ridiculous obscure info if that's your thing.",no
Mars,Living Situations,Farm Towns,I live in one. It's dull and lifeless and surrounded by the shuffling elderly. And corn. Lots and lots of corn. I can speak quite in depth on the absolute joys of farm town life.,no
Mars,Mental Health,Anxiety,"Having lived with it for most of my life, I'd like to think I know at least a bit about it. I'm specifically referring to GAD (General Anxiety Disorder), but there is some overlap with other mental conditions as far as I've noticed. I'm also somewhat knowledgeable on some of the medications available on the market for those that suffer from it.",no
Mars,Towns and Cities,Chicago,"Having always lived an hour less from the city, I've come to learn a good amount about living there, from the sights and sounds of the city, to the smells, to the bottomless feeling of desperation and hopelessness all youths of the Midwest seem to feel about the region.",no
eduardosoliz,Work and Employment,IT,"I've been in IT for a decade now doing programming (think Dilbert) and now tech support. The ""Did you try turning it on off again?"" guy? That's me.",no
eduardosoliz,Computing,Wordpress,I currently use Wordpress on my personal website and know my way around it fairly well including how to get to some of the icky bits.,no
eduardosoliz,Publishing,Self-Publishing; ePub,"I have been self-publishing my story collections onto kindle, nook, iBooks and kobo for a few years now and know a bit about creating EPUB files from Word documents.",no
eduardosoliz,History,Video Games,"While my interest in video games has waned in recent years, I am fairly knowledgeable about the history of the medium.",no
eduardosoliz,Locations,Mexican-American,"I am definitely not an 'expert' in an academic sense, but I learned a few things from growing up as a second generation Mexican-American in Texas.",no
Ocean,Work and Employment,Police,"My dad's been an RCMP officer for over 30 years and a lot of that has trickled down to me. He was a member of the Saskatchewan dive team, which means he dived for dead bodies. He also specialized in Crash Reconstruction Analysis - he goes to fatal or complicated car accidents, takes pictures, measurements, other data, and puts together everything that happened. I've gone on many ride-alongs, joined him to investigate car accidents, and heard many stories.",no
Ocean,Computing,Software Development,"Like many a furry writer, I also picked a career line working with computrons. I specialize in software development: methodology, algorithms, testing, designing, coding, deployment, etc.",no
Ocean,Education,Math,"Next to Comp Sci, I also studied a good chunk of high level mathematics. Group Theory, combinatorics, graph theory, modular math, optimization algorithms, etc.",no
Ocean,Hobbies,Board Games; Video Games; Tabletop Games; Puzzles,"Board, card, video, tabletop, etc. - I love games, I love playing games. I have basic knowledge of game theory, puzzle solving techniques, and game design.",no
Ocean,Living Situations,Small Towns,"The first 20 years of my life was spent living in towns with population less than 3,000. Most people don't understand how a community that small operates. When the basics of a mall, movie theatre, chain grocery stores or eateries are removed, life is quite different.",no
Ocean,Sex and Sexuality,Misc.,I know about sex. I took grade 5 sex Ed and we all laughed at smegma. I also have acute gender confusion.,no
Georgesquares,History,Art,"Ancient through medieval to early renaissance through modern. You can ask me about the significance of art in culture, how museums and curations work, and I can probably help you formulate visual motiffs that pertain to art periods and locations. Ex: Bauhaus, Vorticism, Futurism, Byzantine, what-have-you.",no
Georgesquares,History,Fashion,"I can probably tell you enough about your character's wardrobe to say ""are you sure this is 1895 and not 1900?""",no
Georgesquares,History,Architecture,In case you thought you were talking about a tudor house and not a tudor revival house.,no
Georgesquares,History,America; American South,"African American Lit, Native American culture, White Anglo Saxon Protestants, fried hushpuppies.",no
Georgesquares,Visual Art,Animation,I went to The Savannah College of Art and Design for a year and took a semester of animation.,no
Georgesquares,Visual Art,Art Media,"Art is complicated, expensive, and requires access to a lot of different tools. I can tell you about mounting a canvas, gouache, liquid media for acrylic and oil paint, pottery, differences in paint brush type (some paint will dissolve your paintbrush) and digital media. I'm sure this is an easier one to ask others for since furry is hugely art focused, but if you do want to have a chat about the steps you'd need to have your artist character make archival quality work, I can tell you about preservation methods too.",no
Georgesquares,Biology,Microbiology,Anything from herd immunity to T-cell receptors to aseptic technique in a laboratory setting.,no
Georgesquares,Biology,Genetics; Evolutionary Biology,"Punnet squares, DNA structure, gametes and what they do, and how populations can evolve.",no
Georgesquares,Science,Misc.,"How we work on projects, who we work with, what kinds of tools we use. How not to write Science Man! with Magic Lab Coat.",no
Georgesquares,Chemistry,Organic; Biology,Let's talk about methanol and fallopian tubes! Blood transfusions! Medical procedures!,no
Georgesquares,Earth Sciences,Environments,"This is a big one. Want to know the difference between a swamp and a salt marsh, and how to make region specific settings come to life in your story? Ask me!",no
Georgesquares,Biology,Marine Biology,"Shellfish, plankton, birds, marine mammals, dive mechanisms, nutrient cycles and more.",no
Georgesquares,Health,Chronic Illness,"Both personal and professional perspectives as I have spent much of my life tackling the physical, cultural and emotional consequences.",no
Georgesquares,Genres,Urban Legends; Horror,Home-grown horror is a lot of fun.,no
Georgesquares,Food and Drink,Baking; Cooking,"I'm a foodie and took two years of chemistry, so I can probably tell you more information than you'd need to know about why your bread didn't rise or your cookies are too flat.",no
Georgesquares,Language and Literature,Literature; Literary Criticism,"Because yes this is a hobby of mine. Marxist theory, the differences in the Feminist waves, Focault and the Panopticon, etc.",no
Georgesquares,Editing,Copyediting; Style,"I have taken a class on editing and did fairly well. I have a Chicago style guide, too. I am sure there are more experienced editors here, but if there's uncertainty I can lend a hand.",no
Georgesquares,Visual Art,Film,"I watch a lot of movies and root through a decent amount of older cinema, too.",no
Georgesquares,Luxury Items,Perfumes,I know the difference between what things like Patchouli and Ylang Ylang smell like and know how to write about that.,no
Georgesquares,History,Writing,"I've taken classes on Reformation Lit, Shakespeare, Anglo Saxon Poetry and World Mythology",no
Georgesquares,Mythology,Christianity; Greek,"Greek Mythology and Christianity in particular (since western culture is supersaturated with both, still.)",no
Georgesquares,Nationalities,United Kingdom,Lived in Scotland half a year.,no
Georgesquares,Sex and Sexuality,Misc.; M/M,"I'm happy to look over erotica though might be less useful for f/f or m/f (but will still be able to offer some advice for universal eroticism). Also willing to look it over and say: ""ow, don't do that"" pertaining to what might be more realistic male affection.",no
Friday/Dandin,Locations,American South,"Hey, you never know. I'm pretty darn familiar with a good amount of it, and many books about it. I can answer questions, recommend reading, explain etiquette and geography, etc. As someone who's afraid of writing too much outside their own geography, I figured this might help some.",no
Friday/Dandin,Social Sciences,Sociology,"It's one of my majors. I can explain a lot about sociological concepts and theories. If you have any questions about sociology as a discipline, or about social constructions and how they came to be, I'm your guy. This is very broad, of course, but don't hesitate to ask.",no
Friday/Dandin,Hobbies,Fencing,"Mostly in sabre, but I know enough about all three weapons and refereeing and competing to be able to help you with nearly any aspect of it.",no
Friday/Dandin,Visual Art,Photography,"I probably have an answer to your question, or can find it in ten seconds-- unless it's old-fashioned photography.",no
Friday/Dandin,Medicine,Epidemiology,"I love the subject. I love an excuse to do research on it. It's really cool and while I'm no expert, I'd be happy to help you find information you need.",no
Friday/Dandin,Hobbies,Video Games; Card Games; Board games,"Dota, Magic, assorted board games, go.",no
Friday/Dandin,Sex and Sexuality,Asexuality,"If you want to know what it feels like, how one might act, possible different kinds of feelings that fall under this umbrella term, etc, I can probably help.",no
Friday/Dandin,Education,Homeschooling,"Yup, I was. Yup, I knew a ton of other kids who were.",no
Friday/Dandin,Transportation,Driving,How to drive a stickshift,no
Friday/Dandin,Hobbies,Fishing; Outdoors,"Fishing, wildlife identification, forestry",no
Sasya,Transportation,Aviation,"My raison d'être, and also my day job. I'm a pilot for an airline flying in Southeast Alaska (You could call me a bush pilot, but that typically conjures a different image than what I do). I also give flight instruction from time to time in the SF bay area. I used to spend time and money flying aerobatics for fun and have lots of time upside-down. Certificated flight instructor. Advanced ground instructor.",no
Sasya,Hobbies,Ice Hockey,"I've been playing and reffing ice hockey for over a decade. I play high-level adult recreational, but I ref all levels including college and high-level competitive youth hockey.",no
Sasya,War and Fighting,Swordfighting,"I've been playing and reffing ice hockey for over a decade. I play high-level adult recreational, but I ref all levels including college and high-level competitive youth hockey.",no
Sasya,Music,Misc.; Performing,"My parents are professional musicians and have been playing together for almost half a century now. I grew up playing music and singing with them, and have toured with them as well as played shows around the southeast, which was the second paying job I took, often at the same shows as the first, but in the evenings. ^.^",no
Sasya,Locations,Alaska,"I live and work in the amazing state of Alaska. I haven't lived here very long, and I live in the Southeast part of the state, so I probably can't help you with your dog-sled, 40-below, or polar-bear questions. However, I might be able to suss out relevant information faster than most due to what local knowledge I have. Also, if it involves flying in Alaska, you'll definitely want to talk to me. ^.^",no
